"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"2042","Evolutionary Origins of Rhizarian Parasites","MOLECULAR BIOLOGY AND EVOLUTION","Roberto","hawkins","no","male","male","","Manolo","Gouy","male","University of Geneva","Universite Lyon"
"2043","Consensus and Confusion in Molluscan Trees: Evaluating Morphological and Molecular Phylogenies","SYSTEMATIC BIOLOGY","Julia","bradford","no","female","female","","Benoit","Dayrat","male","Queen's University Belfast","Penn State"
"2044","Plant and root endophyte assembly history: interactive effects on native and exotic plants","ECOLOGY","Benjamin","lan","no","male","male","","Matthias","Rillig","male","University of Texas","Freie University of Berlin"
"2045","How do tree structure and old age affect growth potential of California redwoods?","ECOLOGICAL MONOGRAPHS","Stephen","lazaro-nogal","no","male","male","","Anthony","D'Amato","male","Hudson State University","University of Vermont"
"2046","A New Method for Estimating Species Age Supports the Coexistence of Malaria Parasites and Their Mammalian Hosts","MOLECULAR BIOLOGY AND EVOLUTION","Joana","mousing","no","female","female","","Koichiro","Tamura",NA,"University of Maryland","Tokyo Metropolitan University"
"2047","Hydrological niches in terrestrial plant communities: a review","JOURNAL OF ECOLOGY","Jonathan","ouedraogo","no","male","male","","Will","Cornwell","male","Open University","University of New South Wales"
"2048","Measurement errors should always be incorporated in phylogenetic comparative analysis","METHODS IN ECOLOGY AND EVOLUTION","Daniele","silvertown","no","female","female","","Tamara","Munkemuller","female","University of Gothenburg","Universite Joseph Fourier"
"2049","Effects of land-use intensity on arthropod species abundance distributions in grasslands","JOURNAL OF ANIMAL ECOLOGY","Nadja","wigley","no","female",NA,"babynames.com","Jonathan","Newman","male","Technological University of Munich","University of Guelph"
"2050","Multi-taxa approach shows consistent shifts in arthropod functional traits along grassland land-use intensity gradient","ECOLOGY","Nadja","boudreau","no","female",NA,"babynames.com","Brian","Inouye","male","Technological University of Munich","Florida State University"
"2051","Soil-climate interactions explain variation in foliar, stem, root and reproductive traits across temperate forests","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Angela","cooke","no","female","female","","Brody","Sandel","male","University of Waikato","Santa Clara University"
"2052","Determinants of flammability in savanna grass species","JOURNAL OF ECOLOGY","Kimberley","flatten","no","female","female","","Hans","Cornelissen","male","University of Sheffield","Vrije University"
"2053","Can we predict ectotherm responses to climate change using thermal performance curves and body temperatures?","ECOLOGY LETTERS","Brent","henri","yes","male","male","","David","Vasseur","male","University of Western Ontario","Yale University"
"2054","Stoichiometry of microbial carbon use efficiency in soils","ECOLOGICAL MONOGRAPHS","Robert","rothacher","no","male","male","","Aimee","Classen","female","University of New Mexico","University of Tennessee"
"2055","Evolutionary processes underlying latitudinal differences in reef fish biodiversity","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Alexandre","royaute","no","male",NA,"babynames.com","Adam","Algar","male","University Federal Santa Catarina","University of Nottingham"
"2056","Concatabominations: Identifying Unstable Taxa in Morphological Phylogenetics using a Heuristic Extension to Safe Taxonomic Reduction","SYSTEMATIC BIOLOGY","Karen","sadeh","no","female","female","","Michael","Charleston","male","National University of Ireland","University of Tasmania"
"2057","Can people change the ecological rules that appear general across space?","GLOBAL ECOLOGY AND BIOGEOGRAPHY","A.","landgraf","no",NA,NA,"","Jeremy","Kerr","male","Charles University","University of Ottawa"
"2058","The rules for symbiont community assembly change along a mutualism-parasitism continuum","JOURNAL OF ANIMAL ECOLOGY","James","platt","no","male","male","","Andy","Fenton","either","University of Florida","University of Liverpool"
"2059","Of Rings and Rods: Regulating Cohesin Entrapment of DNA to Generate Intra- and Intermolecular Tethers","PLOS GENETICS","Robert","georgelin","no","male","male","","Monica","Claiacovo","female","Lehigh University","Harvard Medical School"
"2060","Emergence of Antimicrobial-Resistant Escherichia coli of Animal Origin Spreading in Humans","MOLECULAR BIOLOGY AND EVOLUTION","David","moreira","no","male","male","","Miriam","Barlow","female","Harvard University","University of California Merced"
"2061","Home is where the shell is: predicting turtle home range sizes","JOURNAL OF ANIMAL ECOLOGY","Alex","hoy","no","either","either","","Luca","Borger","either","Tel Aviv University","Swansea University"
"2062","Late Quaternary reptile extinctions: size matters, insularity dominates","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Alex","sumasgutner","no","either","either","","Gavin","Thomas","male","Tel Aviv University","University of Sheffield"
"2063","Climate-dependent costs of reproduction: Survival and fecundity costs decline with length of the growing season and summer temperature","ECOLOGY LETTERS","Nina","novikova","no","female","female","","Rebecca","Irwin","female","Uppsala University","Dartmouth College"
"2064","Nonlinear costs of reproduction in a long-lived plant","JOURNAL OF ECOLOGY","Nina","du","no","female","female","","Kenneth","Whitney","male","Uppsala University","University of New Mexico"
"2065","Research design considerations to ensure detection of all species in an avian community","METHODS IN ECOLOGY AND EVOLUTION","Maggi","jordan","no","female","female","","Jana","McPherson","female","University of Nebraska","Simon Fraser University"
"2066","Contrasting synchrony in root and leaf phenology across multiple sub-Arctic plant communities","JOURNAL OF ECOLOGY","Victoria","lososova","no","female","female","","Richard","Bardgett","male","University of Sheffield","University of Manchester"
"2067","How Do Genomes Create Novel Phenotypes? Insights from the Loss of the Worker Caste in Ant Social Parasites","MOLECULAR BIOLOGY AND EVOLUTION","Chris","maclean","no","either","either","","Gunter","Wagner","male","Earlham College","Yale University"
"2068","Genome-Wide DNA Methylation Patterns in Wild Samples of Two Morphotypes of Threespine Stickleback (Gasterosteus aculeatus)","MOLECULAR BIOLOGY AND EVOLUTION","Gilbert","nieto-lugilde","no","male","male","","Naoko","Takezaki","female","University of California Irvine","Kagawa University"
"2069","Less Is More: An Adaptive Branch-Site Random Effects Model for Efficient Detection of Episodic Diversifying Selection","MOLECULAR BIOLOGY AND EVOLUTION","Martin","pachzelt","no","male","male","","James","McInerney","male","University of California San Diego","Maynooth University"
"2070","Stability and feedback levels in food web models","ECOLOGY LETTERS","Matthew","pironon","no","male","male","","John","Drake","male","University of Chicago","University of Georgia"
"2071","Seasonal time constraints reduce genetic variation in life-history traits along a latitudinal gradient","JOURNAL OF ANIMAL ECOLOGY","Szymon","prinzing","no",NA,NA,"","Jason","Chapman","male","Polish Academy of Science","University of Exeter"
"2072","Introductions do not compensate for functional and phylogenetic losses following extinctions in insular bird assemblages","ECOLOGY LETTERS","Fernando","talluto","no","male","male","","Montserrat","Vila","female","University Federal Goias","Estacion Biologica de donana"
"2073","Global patterns and drivers of species and trait composition in diatoms","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Janne","hamel","yes","female",NA,"babynames.com","Brian","Enquist","male","University of Helsinki","University of Arizona"
"2074","Membrane Proteins Are Dramatically Less Conserved than Water-Soluble Proteins across the Tree of Life","MOLECULAR BIOLOGY AND EVOLUTION","Victor","avgar","no","male","male","","James","McInerney","male","University College London","Maynooth University"
"2075","How pervasive is biotic homogenization in human-modified tropical forest landscapes?","ECOLOGY LETTERS","Ricardo","gelin","no","male","male","","Howard","Cornell","male","University Federal Vicosa","University of California Davis"
"2076","Inferring Phylogenetic Networks with Maximum Pseudolikelihood under Incomplete Lineage Sorting","PLOS GENETICS","Claudia","fujioka","no","female","female","","Scott","Edwards","male","University of Wisconsin Madison","Harvard University"
"2077","Inconsistency of Species Tree Methods under Gene Flow","SYSTEMATIC BIOLOGY","Claudia","bernardi","no","female","female","","Peter","Foster","male","University of Wisconsin Madison","University of Edinburgh"
"2078","A missing link between facilitation and plant species coexistence: nurses benefit generally rare species more than common ones","JOURNAL OF ECOLOGY","Santiago","franz","no","male",NA,"babynames.com","Scott","Wilson","male","University of Bern","University of Regina"
"2079","Intransitive competition is widespread in plant communities and maintains their species richness","ECOLOGY LETTERS","Santiago","krug","no","male",NA,"babynames.com","Marcel","Holyoak","male","University of Bern","University of California Davis"
"2080","A hierarchical distance sampling model to estimate abundance and covariate associations of species and communities","METHODS IN ECOLOGY AND EVOLUTION","Rahel","sigwart","no","female","female","","Robert","O'Hara","male","North Carolina State University","Biodiversitat und Klima"
"2081","A simple Bayesian method of inferring extinction: comment","ECOLOGY","Andrew","steiner","no","male","male","","Perry","deValpine","either","Woods Hole Oceanographic Institute","University of California Berkeley"
"2082","Revisiting resource selection probability functions and single-visit methods: clarification and extensions","METHODS IN ECOLOGY AND EVOLUTION","Peter","nishihara","no","male","male","","Nigel","Yoccoz","male","University of Alberta","University of Tromso"
"2083","Why do birds migrate? A macroecological perspective","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Marius","castanera","no","male","male","","Allen","Hurlbert","male","University of Cambridge","University of North Carolina Chapel Hill"
"2084","The Molecular Mechanism of Ethylene-Mediated Root Hair Development Induced by Phosphate Starvation","PLOS GENETICS","Li","barner","no","either",NA,"babynames.com","Sarah","Hake","female","Tsinghua University","University of California Berkeley"
"2085","Higher seed number compensates for lower fruit set in deceptive orchids","JOURNAL OF ECOLOGY","Judit","fraaije","no",NA,NA,"","Ignasi","Bartomeus","male","University of Debrecen","Estacion Biologica de Donana"
"2086","Seed dispersal by dabbling ducks: an overlooked dispersal pathway for a broad spectrum of plant species","JOURNAL OF ECOLOGY","Merel","perkin","no","female",NA,"babynames.com","Eelke","Jongejans","either","University of Utrecht","Radboud University"
"2087","Trace metal accumulation as complementary dietary information for the isotopic analysis of complex food webs","METHODS IN ECOLOGY AND EVOLUTION","David","trigal","no","male","male","","Matthew","Davey","male","Center for Advanced Studies Blanes","University of Cambridge"
"2088","Global patterns of plant root colonization intensity by mycorrhizal fungi explained by climate and soil chemistry","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Nadejda","kidd","no",NA,NA,"","Martin","Sykes","male","Vrije University Amsterdam","Lund University"
"2089","Taxonomy and Phylogeny Can Yield Comparable Results in Comparative Paleontological Analyses","SYSTEMATIC BIOLOGY","Laura","meller","no","female","female","","Adrian","Paterson","either","University of Oxford","Lincoln University New Zealand"
"2090","When does intraspecific trait variation contribute to functional beta-diversity?","JOURNAL OF ECOLOGY","Marko","pearce-higgins","no","male","male","","Robert","Jones","male","Washington University",""
"2091","Do pathogens limit the distributions of tropical trees across a rainfall gradient?","JOURNAL OF ECOLOGY","Erin","rotics","no","either","either","","Peter","Thrall","male","University of Utah","CSIRO Plant Industry"
"2092","Bridging factorial and gradient concepts of resource co-limitation: towards a general framework applied to consumers","ECOLOGY LETTERS","Erik","touchton","no","male","male","","James","Grover","male","University of Sydney","University of Texas Arlington"
"2093","Socially interacting or indifferent neighbours? Randomization of movement paths to tease apart social preference and spatial constraints","METHODS IN ECOLOGY AND EVOLUTION","Orr","zhang","no",NA,NA,"","Tamara","Munkemuller","female","University of California Davis","Universite Joseph Fourier"
"2094","The Relationship between dN/dS and Scaled Selection Coefficients","MOLECULAR BIOLOGY AND EVOLUTION","Stephanie","delewski","no","female","female","","Tal","Pupko","male","University of Texas","Tel Aviv University"
"2095","Extensively Parameterized Mutation-Selection Models Reliably Capture Site-Specific Selective Constraint","MOLECULAR BIOLOGY AND EVOLUTION","Stephanie","hammerling","no","female","female","","Sergei","Kosakovsky","male","University of Texas","Temple University"
"2096","Flexible foraging shapes the topology of plant-pollinator interaction networks","ECOLOGY","Brian","marsit","no","male","male","","Neal","Williams","male","University of Wisconsin Madison","University of California Davis"
"2097","A Jacob/Nsmf Gene Knockout Results in Hippocampal Dysplasia and Impaired BDNF Signaling in Dendritogenesis","PLOS GENETICS","Christina","naseeb","no","female","female","","Liliane","Schoofs","female","Leibniz Institute of Neurobiology","Katholieke Universiteit Leuven"
"2098","Predators suppress herbivore outbreaks and enhance plant recovery following hurricanes","ECOLOGY","David","rodriguez-beltran","no","male","male","","Gordon","Fox","male","University of California Davis","University of South Florida"
"2099","Biotic resistance and disturbance: rodent consumers regulate post-fire plant invasions and increase plant community diversity","ECOLOGY","Samuel","tripathi","no","male","male","","Sergio","Navarrete","male","Brigham Young University","Pontificia Universidad Catolica de Chile"
"2100","Does Gene Tree Discordance Explain the Mismatch between Macroevolutionary Models and Empirical Patterns of Tree Shape and Branching Times?","SYSTEMATIC BIOLOGY","Tanja","urano","no","",NA,"","Edward","Susko","male","Swiss Federal Institute of Technology","Dalhousie University"
"2101","Epigenetics in Cancer: A Hematological Perspective","PLOS GENETICS","Maximilian","wielgoss","no","male","male","","David","Kwiatkowski","male","Yale University","Brigham and Women's Hospital"
"2102","Long-term data suggest jarrah-forest establishment at restored mine sites is resistant to climate variability","JOURNAL OF ECOLOGY","Rachel","zelikova","no","female","female","","David","Gibson","male","University of Western Australia","Southern Illinois University"
"2103","The ecology of methane in streams and rivers: patterns, controls, and global significance","ECOLOGICAL MONOGRAPHS","Emily","svetec","no","female","female","","Stuart","Findlay","male","University of Wisconsin Madison","Cary Insitute of Ecosystem Studies"
"2104","Assortative Mating Drives Linkage Disequilibrium between Sperm and Egg Recognition Protein Loci in the Sea Urchin Strongylocentrotus purpuratus","MOLECULAR BIOLOGY AND EVOLUTION","Andres","berger-tal","no","male","male","","Willie","Swanson","either","Florida State University","University of Washington"
"2105","Linking canopy leaf area and light environments with tree size distributions to explain Amazon forest demography","ECOLOGY LETTERS","Scott","broeckhoven","no","male","male","","Maria","Uriarte","female","University of Arizona","Columbia University"
"2106","Analysis of stable states in global savannas: is the CART pulling the horse? - a comment","GLOBAL ECOLOGY AND BIOGEOGRAPHY","A.","hansen","no","female","female","","Niklaus","Zimmermann","male","Yale University","Swiss Federal Research Institute"
"2107","Differential effects of environmental heterogeneity on global mammal species richness","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Anke","de paepe","no","female",NA,"babynames.com","Miguel","Olalla-Tarraga","male","University of Gottingen","University of Alcala"
"2108","Transitions and invasion along a grazing gradient in experimental California grasslands","ECOLOGY","Claudia","kamensek","no","female","female","","Jonathan","Levine","male","University of California Berkeley","University of California Santa Barbara"
"2109","Biogeographic ranges do not support niche theory in radiating Canary Island plant clades","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Manuel","roach","no","male","male","","Ana","Santos","female","University of Bayreuth","University of Alcala"
"2110","Topography-driven isolation, speciation and a global increase of endemism with elevation","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Manuel","soons","no","male","male","","Thomas","Gillespie","male","University of Bayreuth","Emory University"
"2111","A Falsification of the Citation Impediment in the Taxonomic Literature","SYSTEMATIC BIOLOGY","Florian","andersen","no","male","male","","Benoit","Dayrat","male","University of Innsbruck","Penn State"
"2112","Is drought-induced forest dieback globally increasing?","JOURNAL OF ECOLOGY","Joerg","choi","no","male",NA,"pronouncenames","David","Gibson","male","Biodiversity and Climate Research Center","Southern Illinois University"
"2113","Exploring Tree-Like and Non-Tree-Like Patterns Using Genome Sequences: An Example Using the Inbreeding Plant Species Arabidopsis thaliana (L.) Heynh","SYSTEMATIC BIOLOGY","Noah","amundrud","no","male","male","","Roberta","Mason-Gamer","female","University of Wisconsin Madison","University of Illinois at Chicago"
"2114","The macroecology of infectious diseases: a new perspective on global-scale drivers of pathogen distributions and impacts","ECOLOGY LETTERS","Patrick","anderson","no","male","male","","Hillary","Young","either","University of Georgia","University of California Santa Barbara"
"2115","Impacts of geography, taxonomy and functional group on inorganic carbon use patterns in marine macrophytes","JOURNAL OF ECOLOGY","Courtney","palacios","no","either","either","","Amy","Austin","female","","University of Buenos Aires"
"2116","Trans-generational parasite protection associated with paternal diet","JOURNAL OF ANIMAL ECOLOGY","Eleanore","schwarzmueller","no","female","female","","Mike","Boots","male","Emory University","University of California Berkeley"
"2117","The Replication of Frataxin Gene Is Assured by Activation of Dormant Origins in the Presence of a GAA-Repeat Expansion","PLOS GENETICS","Martina","yen","no","female","female","","Christopher","Pearson","male","University of Padua","The Hospital for Sick Children and University of Toronto"
"2118","Forest disturbance accelerates thermophilization of understory plant communities","JOURNAL OF ECOLOGY","Jens","giam","no","male","male","","Frank","Gilliam","either","University of California Davis","Marshall University"
"2119","Biogeography of Alaska paper birch (Betula neoalaskana): latitudinal patterns in chemical defense and plant architecture","ECOLOGY","Michael","mizerek","no","male","male","","Gordon","Fox","male","University of Wisconsin Madison","University of South Florida"
"2120","A general framework for animal density estimation from acoustic detections across a fixed microphone array","Methods in Ecology and Evolution","Ben","li","no","male","male","","Robert","Freckleton","male","University of St. Andrews","University of Sheffield"
"2121","The Time Scale of Recombination Rate Evolution in Great Apes","MOLECULAR BIOLOGY AND EVOLUTION","Laurie","tobner","no","either","either","","Yuseob","Kim",NA,"University of California San Francisco","Ewha Womans University"
"2122","The regional species richness and genetic diversity of Arctic vegetation reflect both past glaciations and current climate","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Laerke","bailey","no",NA,NA,"","Jeremy","Kerr","male","Aarhus University","University of Ottawa"
"2123","Effects of model assumptions and data quality on spatial cumulative human impact assessments","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Andy","bassar","no","either","either","","Richard","Field","male","Stanford University","University of Nottingham"
"2124","Unifying error structures in commonly used biotracer mixing models","ECOLOGY","Brian","bouwhuis","no","male","male","","Daniel","Schindler","either","University of California San Diego","University of Washington"
"2125","Exploiting the richest patch has a fitness pay-off for the migratory swift parrot","JOURNAL OF ANIMAL ECOLOGY","Dejan","fayle","no","male",NA,"babynames.com","Simon","Griffith","male","Australian National University","Macquarie University"
"2126","A climate of uncertainty: accounting for error in climate variables for species distribution models","METHODS IN ECOLOGY AND EVOLUTION","Jakub","wang","no",NA,NA,"","Robert","O'Hara","male","University of New South Wales","Biodiversitat und Klima"
"2127","Resurrecting complexity: the interplay of plasticity and rapid evolution in the multiple trait response to strong changes in predation pressure in the water flea Daphnia magna","ECOLOGY LETTERS","Robby","zerges","no","female","female","","Gabriele","Sorci","male","University of Leuven","Universite de bourgogne"
"2128","Litter chemistry and chemical diversity drive ecosystem processes in forest ponds","ECOLOGY","Aaron","buoro","no","male","male","","Helmut","Hillebrand","male","University of Pittsburgh","University of Oldenburg"
"2129","Effect sizes and standardization in neighbourhood models of forest stands: potential biases and misinterpretations","METHODS IN ECOLOGY AND EVOLUTION","Peter","henriksson","no","male","male","","Jane","Molofsky","female","University of Bern","University of Vermont"
"2130","On the Causes of Evolutionary Transition: Transversion Bias","MOLECULAR BIOLOGY AND EVOLUTION","Arlin","warren","no","female",NA,"babynames.com","Takashi","Gojobori","male","Institute for Bioscience and Biotechnology Research","National Institute of Genetics"
"2131","Telomere Length and the Cancer-Atherosclerosis Trade-Off","PLOS GENETICS","Rivka","caradonna","no","female",NA,"babynames.com","Elizabeth","Fisher","female","Rutgers-State University of New Jersey","University College London"
"2132","Perturbation analysis of transient population dynamics using matrix projection models","METHODS IN ECOLOGY AND EVOLUTION","Iain","loranger","no","male","male","","Robert","Freckleton","male","Max Planck Institute of Demographic Research","University of Sheffield"
"2133","Success, failure and ambiguity of the dilution effect among competitors","ECOLOGY LETTERS","Alexander","woods","no","male","male","","Eric","Seabloom","male","Indiana University","University of Minnesota"
"2134","Habitat, predators, and hosts regulate disease in Daphnia through direct and indirect pathways","ECOLOGICAL MONOGRAPHS","Alexander","blow","no","male","male","","Marm","Kilpatrick ",NA,"Indiana University","University of California Santa Cruz"
"2135","How Should Genes and Taxa be Sampled for Phylogenomic Analyses with Missing Data? An Empirical Study in Iguanian Lizards","SYSTEMATIC BIOLOGY","Jeffrey","howison","no","male","male","","John","McCormack","male","University of Arizona","Occidental College"
"2136","Differential sources of host species heterogeneity influence the transmission and control of multi-host parasites (vol 16, pg 978, 2013)","ECOLOGY LETTERS","Daniel","jager","no","either","either","","",NA,NA,"University of Glasgow",""
"2137","Emergence and accumulation of novel pathogens suppress aninvasive species","ECOLOGY LETTERS","Kerry","piper","no","either","either","","Richard","Bardgett","male","University of Florida","University of Manchester"
"2138","The role of water and fire in driving tree dynamics in Australian savannas","JOURNAL OF ECOLOGY","Christopher","rudgers","no","male","male","","Scott","Wilson","male","Colorado State University","University of Regina"
"2139","Are generalist parasites being lost from their hosts?","JOURNAL OF ANIMAL ECOLOGY","Giovanni","schrama","no","male","male","","Andy","Fenton","either","","University of Liverpool"
"2140","A new measure of ecological network structure based on node overlap and segregation","METHODS IN ECOLOGY AND EVOLUTION","Giovanni","chen","no","male","male","","Timothee","Poisot","male","","University of Canterbury"
"2141","Mapping ignorance: 300 years of collecting flowering plants in Africa","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Juliana","boyce","no","female","female","","Maria","Dornelas","female","","University of St. Andrews"
"2142","Priority effects: natives, but not exotics, pay to arrive late","JOURNAL OF ECOLOGY","Katharine","ousterhout","no","female","female","","Meghan","Avolio","female","University of California Davis","National socio-environmental synthesis center"
"2143","Predators, energetics and fitness drive neonatal reproductive failure in red squirrels","JOURNAL OF ANIMAL ECOLOGY","Emily","arguello","no","female","female","","Tim","Coulson","either","McGill University","University of Oxford"
"2144","Quantifying physiological influences on otolith microchemistry","METHODS IN ECOLOGY AND EVOLUTION","Anna","mayor","no","female","female","","Erica","Leder","female","University of Southampton","University of Turku"
"2145","Adult acclimation to combined temperature and pH stressors significantly enhances reproductive outcomes compared to short-term exposures","JOURNAL OF ANIMAL ECOLOGY","Coleen","gilbert","no","female","female","","Tom","Webb","male","British Antarctic Survey Cambridge","University of Sheffield"
"2146","Machine Learning Biogeographic Processes from Biotic Patterns: A New Trait-Dependent Dispersal and Diversification Model with Model Choice By Simulation-Trained Discriminant Analysis","SYSTEMATIC BIOLOGY","Jeet","gasperini","no",NA,NA,"","Tiffani","Williams","female","University of Michigan","Texas A&M University"
"2147","Accounting for Population Structure in Gene-by-Environment Interactions in Genome-Wide Association Studies Using Mixed Models","PLOS GENETICS","Jae","liu","no","male","male","","Nicholas","Schork","male","University of California Los Angeles","University of California San Diego"
"2148","Evidence of soil nutrient availability as the proximate constraint on growth of treeline trees in northwest Alaska: reply","ECOLOGY","Patrick","liu","no","male","male","","John","Battles","male","University of Alaska Anchorage","University of California Berkeley"
"2149","Family morph matters: factors determining survival and recruitment in a long-lived polymorphic raptor","JOURNAL OF ANIMAL ECOLOGY","Petra","zhang","no","female","female","","Alexandre","Roulin",NA,"University of Cape Town","University of Lausanne"
"2150","The Oryza sativa Regulator HDR1 Associates with the Kinase OsK4 to Control Photoperiodic Flowering","PLOS GENETICS","Xuehui","frigols","no",NA,NA,"","Gregory","Copenhaver","male","Chinese Academy of Sciences","University of North Carolina Chapel Hill"
"2151","Insertion DNA Accelerates Meiotic Interchromosomal Recombination in Arabidopsis thaliana","MOLECULAR BIOLOGY AND EVOLUTION","Xiao-Qin","cross","yes",NA,NA,"","Stephen","Wright","male","","University of Toronto"
"2152","Global patterns and climate drivers of water-use efficiency in terrestrial ecosystems deduced from satellite-based datasets and carbon cycle models","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Yan","garnier","no","female",NA,"babynames.com","Josep","Penuelas","male","Peking University","CREAF Universitat Autonoma Barcelona"
"2153","Species traits and climate velocity explain geographic range shifts in an ocean-warming hotspot","ECOLOGY LETTERS","Jennifer","rivrud","no","female","female","","Boris","Worm","male","University of British Columbia","Dalhousie University"
"2154","Asymmetric Context-Dependent Mutation Patterns Revealed through Mutation-Accumulation Experiments","MOLECULAR BIOLOGY AND EVOLUTION","Way","gonzalez","no","male","male","","John","Novembre","male","Indiana University","University of Chicago"
"2155","The effectiveness and costs of pathogen resistance strategies in a perennial plant","JOURNAL OF ECOLOGY","Hanna","kneitel","no","female","female","","Alison","Power","female","University of Helsinki","Cornell University"
"2156","Bayesian Long Branch Attraction Bias and Corrections","SYSTEMATIC BIOLOGY","Edward","padfield","no","male","male","","Laura","Kubatko","female","","Ohio State University"
"2157","A multiregion community model for inference about geographic variation in species richness","METHODS IN ECOLOGY AND EVOLUTION","Chris","stoler","no","either","either","","Nick","Isaac","male","University of Massachusetts Amherst","Centre for Ecology and Hydrology"
"2158","Modelling non-Euclidean movement and landscape connectivity in highly structured ecological networks","METHODS IN ECOLOGY AND EVOLUTION","Chris","thrane","no","either","either","","Olivier","Gimenez","male","Cornell University","CNRS"
"2159","Intra-patient Inter-metastatic Genetic Heterogeneity in Colorectal Cancer as a Key Determinant of Survival after Curative Liver Resection","PLOS GENETICS","Anita","boendel","no","female","female","","Carlo","Maley","male","Oslo University Hospital","Arizona State University and University of California San Francisco"
"2160","The Adaptive Significance of Natural Genetic Variation in the DNA Damage Response of Drosophila melanogaster","PLOS GENETICS","Nicolas","bonhomme","no","male","male","","Daven","Presgraves",NA,"University of California Davis","University of Rochester"
"2161","Spatial distribution of fishes in a Northwest Atlantic ecosystem in relation to risk of predation by a marine mammal","JOURNAL OF ANIMAL ECOLOGY","Douglas","huang","no","male","male","","Christophe","Eizaguirre","male","Fisheries and Oceans Canada Gulf Fisheries Center","Queen Mary University of London"
"2162","Resilience of peatland ecosystem services over millennial timescales: evidence from a degraded British bog","JOURNAL OF ECOLOGY","Graeme","lee","no","male","male","","John","Lee","male","University of Leeds","University of Sheffield"
"2163","The Inference of Gene Trees with Species Trees","SYSTEMATIC BIOLOGY","Gergely","liu","no","male",NA,"behindthename.com","Tanja","Stadler","female","","ETH Zurich"
"2164","The inference of gene trees with species trees (vol 64, pg e42, 2014)","SYSTEMATIC BIOLOGY","G.","ness","no",NA,NA,"","","Erratum",NA,"",NA
"2165","Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands","JOURNAL OF ANIMAL ECOLOGY","Michael","aho","no","male","male","","Blaine","Griffen","male","University of Wyoming","University of South Carolina"
"2166","A spatially explicit model for flowering time in bamboos: long rhizomes drive the evolution of delayed flowering","JOURNAL OF ECOLOGY","Yuuya","basson","no",NA,NA,"","Richard","Shefferson","male","Hokkaido University","University of Tokyo"
"2167","Time-scale dependency of host plant biomass- and trait-mediated indirect effects of deer herbivory on a swallowtail butterfly","JOURNAL OF ANIMAL ECOLOGY","Shun","johnson","no","either",NA,"babynames.com","Anne","Loison","female","","Universite de Savoie"
"2168","Covariation Is a Poor Measure of Molecular Coevolution","MOLECULAR BIOLOGY AND EVOLUTION","David","lynch","no","male","male","","Jeffrey","Thorne","male","University of Manchester","North Carolina State University"
"2169","Cross-scale integration of knowledge for predicting species ranges: a metamodelling framework","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Matthew","warton","no","male","male","","Arndt","Hampe","male","University of Quebec","INRA French National Institute for Agricultural Research"
"2170","Current Methods for Automated Filtering of Multiple Sequence Alignments Frequently Worsen Single-Gene Phylogenetic Inference","SYSTEMATIC BIOLOGY","Ge","cifuentes","no",NA,NA,"","Olivier","Gascuel","male","ETH Zurich","Institut Pasteur"
"2171","Phantom alternatives influence food preferences in the eastern honeybee Apis cerana","JOURNAL OF ANIMAL ECOLOGY","Ken","nie","no","male","male","","Ken","Wilson","male","Chinese Academy of Sciences","Lancaster University "
"2172","Arabidopsis COG Complex Subunits COG3 and COG8 Modulate Golgi Morphology, Vesicle Trafficking Homeostasis and Are Essential for Pollen Tube Growth","PLOS GENETICS","Xiaoyun","de waal","no",NA,NA,"","Mark","Johnson","male","Nanjing Agricultural University","Brown University"
"2173","Multispecies Analysis of Expression Pattern Diversification in the Recently Expanded Insect Ly6 Gene Family","MOLECULAR BIOLOGY AND EVOLUTION","Kohtaro","fonturbel","no",NA,NA,"","Jianzhi","Zhang",NA,"Institute Gulbenkian Ciencias","University of Michigan"
"2174","High-throughput monitoring of wild bee diversity and abundance via mitogenomics","METHODS IN ECOLOGY AND EVOLUTION","Min","hargreaves","no","female","female","","M","Gilbert",NA,"BGI Shenzhen",""
"2175","Arbuscular mycorrhizal fungi affect plant tolerance andchemical defences to herbivory through different mechanisms","JOURNAL OF ECOLOGY","Leiling","pellissier","no",NA,NA,"","Marcel","VanDerHeijden","male","Emory University","Agroscope Reckenholz-Tanikon Research Station"
